frame,x,y,x_cm,y_cm
1,1584,706,43.73006134969325,19.49079754601227
1,916,694,25.288343558282207,19.15950920245399
1,1811,701,49.99693251533743,19.35276073619632
1,722,672,19.932515337423315,18.552147239263803
1,954,676,26.337423312883434,18.662576687116566
1,508,660,14.024539877300613,18.220858895705522
1,1776,661,49.030674846625764,18.248466257668714
1,1630,636,45.0,17.558282208588956
1,745,641,20.56748466257669,17.696319018404907
1,1594,630,44.00613496932515,17.392638036809817
1,1856,623,51.239263803680984,17.199386503067483
1,1127,619,31.11349693251534,17.088957055214724
1,992,619,27.386503067484664,17.088957055214724
1,814,593,22.47239263803681,16.37116564417178
1,1558,590,43.012269938650306,16.288343558282207
1,1762,592,48.644171779141104,16.34355828220859
1,1273,579,35.144171779141104,15.984662576687116
1,1470,567,40.58282208588957,15.653374233128835
1,751,559,20.733128834355828,15.432515337423313
1,1196,492,33.01840490797546,13.582822085889571
1,1581,488,43.647239263803684,13.47239263803681
1,668,400,18.441717791411044,11.042944785276074
2,636,704,17.558282208588956,19.43558282208589
2,565,695,15.598159509202453,19.187116564417177
2,772,689,21.312883435582823,19.02147239263804
2,1228,683,33.90184049079755,18.855828220858896
2,722,667,19.932515337423315,18.414110429447852
2,1766,670,48.75460122699386,18.496932515337424
2,1257,669,34.70245398773006,18.469325153374232
2,859,662,23.71472392638037,18.2760736196319
2,1845,643,50.93558282208589,17.75153374233129
2,1634,636,45.11042944785276,17.558282208588956
2,1342,619,37.04907975460123,17.088957055214724
2,1034,620,28.54601226993865,17.116564417177916
2,1863,621,51.43251533742331,17.144171779141104
2,1556,595,42.95705521472393,16.426380368098158
2,1112,576,30.699386503067483,15.901840490797547
2,1473,563,40.66564417177914,15.542944785276074
2,742,556,20.484662576687118,15.349693251533742
2,862,538,23.79754601226994,14.85276073619632
2,1174,491,32.41104294478528,13.55521472392638
2,1590,488,43.895705521472394,13.47239263803681
2,1202,486,33.1840490797546,13.417177914110429
2,671,393,18.524539877300615,10.849693251533742
3,964,709,26.61349693251534,19.573619631901842
3,660,706,18.220858895705522,19.49079754601227
3,939,703,25.92331288343558,19.4079754601227
3,907,696,25.039877300613497,19.21472392638037
3,557,690,15.377300613496933,19.049079754601227
3,731,675,20.180981595092025,18.634969325153374
3,1763,668,48.671779141104295,18.441717791411044
3,954,666,26.337423312883434,18.386503067484664
3,1627,649,44.91717791411043,17.91717791411043
3,1865,619,51.487730061349694,17.088957055214724
3,1353,619,37.352760736196316,17.088957055214724
3,1003,615,27.690184049079754,16.978527607361965
3,1768,585,48.809815950920246,16.150306748466257
3,1106,578,30.533742331288344,15.957055214723926
3,1473,565,40.66564417177914,15.598159509202453
3,733,554,20.236196319018404,15.294478527607362
3,869,536,23.99079754601227,14.797546012269938
3,1593,493,43.97852760736196,13.610429447852761
3,1207,484,33.32208588957055,13.36196319018405
3,672,392,18.552147239263803,10.822085889570552
4,651,707,17.97239263803681,19.51840490797546
4,936,700,25.840490797546014,19.32515337423313
4,770,690,21.257668711656443,19.049079754601227
4,1220,684,33.68098159509203,18.883435582822084
4,722,667,19.932515337423315,18.414110429447852
4,853,677,23.549079754601227,18.690184049079754
4,952,667,26.282208588957054,18.414110429447852
4,911,668,25.150306748466257,18.441717791411044
4,1775,666,49.00306748466258,18.386503067484664
4,1206,657,33.29447852760736,18.13803680981595
4,750,648,20.70552147239264,17.88957055214724
4,1428,644,39.423312883435585,17.779141104294478
4,1852,634,51.12883435582822,17.503067484662576
4,1124,627,31.030674846625768,17.309815950920246
4,1873,620,51.70858895705521,17.116564417177916
4,1553,599,42.874233128834355,16.53680981595092
4,1235,589,34.09509202453988,16.26073619631902
4,1612,584,44.50306748466258,16.12269938650307
4,1101,579,30.395705521472394,15.984662576687116
4,1480,567,40.85889570552147,15.653374233128835
4,725,556,20.015337423312882,15.349693251533742
4,876,540,24.1840490797546,14.9079754601227
4,1601,497,44.19938650306749,13.720858895705522
4,1210,490,33.40490797546012,13.52760736196319
4,678,390,18.717791411042946,10.766871165644172
5,960,712,26.503067484662576,19.65644171779141
5,1735,696,47.89877300613497,19.21472392638037
5,928,691,25.619631901840492,19.07668711656442
5,733,665,20.236196319018404,18.358895705521473
5,1771,664,48.892638036809814,18.33128834355828
5,1244,651,34.34355828220859,17.97239263803681
5,950,655,26.226993865030675,18.08282208588957
5,1852,637,51.12883435582822,17.585889570552148
5,1877,620,51.81901840490798,17.116564417177916
5,1556,606,42.95705521472393,16.73006134969325
5,1260,577,34.785276073619634,15.929447852760736
5,1097,579,30.28527607361963,15.984662576687116
5,1778,576,49.08588957055215,15.901840490797547
5,1485,563,40.99693251533743,15.542944785276074
5,713,556,19.6840490797546,15.349693251533742
5,880,533,24.294478527607364,14.714723926380369
5,1610,499,44.4478527607362,13.776073619631902
5,1212,494,33.4601226993865,13.63803680981595
5,1181,490,32.604294478527606,13.52760736196319
6,570,709,15.736196319018404,19.573619631901842
6,962,710,26.558282208588956,19.60122699386503
6,641,708,17.696319018404907,19.54601226993865
6,917,690,25.3159509202454,19.049079754601227
6,654,682,18.05521472392638,18.828220858895705
6,1806,678,49.858895705521476,18.717791411042946
6,740,667,20.429447852760735,18.414110429447852
6,1023,670,28.242331288343557,18.496932515337424
6,950,656,26.226993865030675,18.11042944785276
6,920,661,25.39877300613497,18.248466257668714
6,1570,657,43.34355828220859,18.13803680981595
6,877,658,24.211656441717793,18.165644171779142
6,1182,649,32.6319018404908,17.91717791411043
6,1118,633,30.865030674846626,17.475460122699385
6,1858,633,51.29447852760736,17.475460122699385
6,1884,617,52.012269938650306,17.033742331288344
6,1785,619,49.27914110429448,17.088957055214724
6,1561,608,43.09509202453988,16.78527607361963
6,1079,589,29.788343558282207,16.26073619631902
6,1253,579,34.5920245398773,15.984662576687116
6,1618,575,44.668711656441715,15.874233128834357
6,1272,562,35.11656441717791,15.515337423312884
6,705,550,19.46319018404908,15.184049079754601
6,888,530,24.515337423312882,14.631901840490798
6,1618,506,44.668711656441715,13.969325153374234
6,1219,490,33.65337423312884,13.52760736196319
7,1755,697,48.45092024539878,19.242331288343557
7,642,693,17.7239263803681,19.131901840490798
7,911,690,25.150306748466257,19.049079754601227
7,705,674,19.46319018404908,18.607361963190183
7,1270,680,35.061349693251536,18.773006134969325
7,1772,655,48.920245398773005,18.08282208588957
7,883,654,24.37730061349693,18.05521472392638
7,1175,649,32.438650306748464,17.91717791411043
7,946,642,26.116564417177916,17.7239263803681
7,1875,630,51.763803680981596,17.392638036809817
7,1631,629,45.02760736196319,17.365030674846626
7,1460,616,40.306748466257666,17.006134969325153
7,1072,600,29.595092024539877,16.56441717791411
7,1790,614,49.41717791411043,16.950920245398773
7,818,587,22.58282208588957,16.20552147239264
7,1785,574,49.27914110429448,15.846625766871165
7,1620,573,44.7239263803681,15.819018404907975
7,1277,563,35.25460122699386,15.542944785276074
7,694,549,19.15950920245399,15.156441717791411
7,887,525,24.487730061349694,14.493865030674847
7,1616,514,44.61349693251534,14.190184049079754
7,1217,502,33.59815950920245,13.858895705521473
8,570,722,15.736196319018404,19.932515337423315
8,963,707,26.585889570552148,19.51840490797546
8,1735,696,47.89877300613497,19.21472392638037
8,743,685,20.512269938650306,18.911042944785276
8,1265,682,34.923312883435585,18.828220858895705
8,648,671,17.88957055214724,18.524539877300615
8,1764,661,48.69938650306749,18.248466257668714
8,886,655,24.460122699386503,18.08282208588957
8,1879,629,51.874233128834355,17.365030674846626
8,942,637,26.006134969325153,17.585889570552148
8,1072,592,29.595092024539877,16.34355828220859
8,1785,582,49.27914110429448,16.06748466257669
8,1254,583,34.61963190184049,16.095092024539877
8,1620,567,44.7239263803681,15.653374233128835
8,1282,548,35.392638036809814,15.128834355828221
8,685,549,18.911042944785276,15.156441717791411
8,889,520,24.542944785276074,14.355828220858896
8,1221,506,33.70858895705521,13.969325153374234
9,750,680,20.70552147239264,18.773006134969325
9,709,665,19.573619631901842,18.358895705521473
9,1176,655,32.466257668711656,18.08282208588957
9,1252,650,34.56441717791411,17.94478527607362
9,763,644,21.06441717791411,17.779141104294478
9,941,635,25.978527607361965,17.530674846625768
9,1880,634,51.90184049079755,17.503067484662576
9,1609,623,44.420245398773005,17.199386503067483
9,1642,614,45.331288343558285,16.950920245398773
9,1786,611,49.306748466257666,16.868098159509202
9,1261,591,34.81288343558282,16.3159509202454
9,1080,587,29.8159509202454,16.20552147239264
9,1791,582,49.44478527607362,16.06748466257669
9,1617,563,44.64110429447853,15.542944785276074
9,678,553,18.717791411042946,15.266871165644172
9,1285,550,35.47546012269939,15.184049079754601
9,1622,522,44.77914110429448,14.411042944785276
9,897,516,24.763803680981596,14.245398773006135
