track_id,num_positions,first_frame,last_frame,duration
277,4,195,201,6
278,14,197,227,30
279,92,197,341,144
280,1,203,203,0
281,20,204,248,44
282,9,204,221,17
283,53,204,278,74
284,4,205,221,16
285,5,207,234,27
286,26,208,266,58
287,3,208,216,8
288,12,210,234,24
289,27,214,251,37
290,1,217,217,0
291,38,217,305,88
292,17,218,242,24
293,37,218,258,40
294,52,218,287,69
295,2,219,225,6
296,47,221,271,50
297,3,223,231,8
298,7,223,243,20
299,47,225,279,54
300,56,226,330,104
301,2,227,230,3
302,10,228,244,16
303,34,228,323,95
304,5,228,252,24
305,12,230,251,21
306,5,230,234,4
307,2,231,233,2
308,88,231,353,122
309,4,232,244,12
310,16,232,258,26
311,56,234,331,97
312,15,234,264,30
313,29,234,289,55
314,10,235,264,29
315,14,236,257,21
316,2,237,238,1
317,4,237,245,8
318,3,241,245,4
319,2,242,246,4
320,5,243,248,5
321,87,243,353,110
322,17,245,276,31
323,9,245,281,36
324,99,246,382,136
325,33,246,303,57
326,12,249,266,17
327,66,250,354,104
328,13,250,269,19
329,29,251,302,51
330,7,251,261,10
331,2,253,254,1
332,2,256,262,6
333,65,257,401,144
334,22,257,314,57
335,17,258,279,21
336,3,259,263,4
337,1,260,260,0
338,47,260,368,108
339,3,263,265,2
340,12,264,296,32
341,15,264,289,25
342,2,265,267,2
343,16,266,295,29
344,16,267,300,33
345,8,267,275,8
346,6,267,272,5
347,21,268,306,38
348,13,270,291,21
349,15,270,298,28
350,10,272,296,24
351,12,272,311,39
352,20,273,316,43
353,7,273,284,11
354,5,275,289,14
355,33,275,323,48
356,1,276,276,0
357,11,276,290,14
358,165,279,485,206
359,1,281,281,0
360,2,282,284,2
361,39,282,357,75
362,3,282,284,2
363,1,283,283,0
364,2,285,293,8
365,17,286,329,43
366,1,287,287,0
367,1,288,288,0
368,6,288,309,21
369,2,289,292,3
370,58,289,415,126
371,16,292,320,28
372,19,292,328,36
373,5,294,307,13
374,9,294,331,37
375,5,297,305,8
376,4,297,304,7
377,24,297,349,52
378,1,298,298,0
379,157,299,516,217
380,16,300,331,31
381,50,301,381,80
382,7,302,313,11
383,44,302,357,55
384,9,303,311,8
385,9,303,326,23
386,14,306,335,29
387,55,306,383,77
388,6,308,318,10
389,49,310,404,94
390,40,310,366,56
391,44,310,435,125
392,65,311,413,102
393,1,312,312,0
394,6,313,328,15
395,9,317,342,25
396,28,317,392,75
397,2,317,318,1
398,4,317,320,3
399,1,318,318,0
400,4,320,328,8
401,1,321,321,0
402,3,322,327,5
403,22,324,361,37
404,3,325,327,2
405,5,326,336,10
406,15,326,371,45
407,97,329,453,124
408,57,329,479,150
409,8,329,371,42
410,30,329,364,35
411,5,331,345,14
412,37,331,418,87
413,2,332,342,10
414,2,333,334,1
415,10,333,350,17
416,4,335,339,4
417,21,335,394,59
418,32,336,390,54
419,53,336,400,64
420,14,337,362,25
421,21,338,389,51
422,8,338,376,38
423,30,341,380,39
424,2,343,346,3
425,34,343,379,36
426,4,344,358,14
427,24,348,381,33
428,11,349,363,14
429,89,349,465,116
430,4,350,365,15
431,1,353,353,0
432,7,353,362,9
433,1,353,353,0
434,18,354,404,50
435,5,354,368,14
436,3,355,360,5
437,2,355,359,4
438,55,355,446,91
439,2,356,366,10
440,12,356,376,20
441,45,358,424,66
442,30,360,415,55
443,33,360,400,40
444,34,363,443,80
445,6,364,380,16
446,2,366,374,8
447,9,366,392,26
448,21,366,403,37
449,1,367,367,0
450,23,368,431,63
451,2,368,372,4
452,10,369,393,24
453,8,370,382,12
454,12,372,393,21
455,34,373,434,61
456,9,374,400,26
457,20,374,395,21
458,54,375,510,135
459,1,376,376,0
460,3,378,391,13
461,48,378,433,55
